"Gene_Symbol","Amaya2014a"
"INPP4A","0.980678481261245"
"SHH","1.01742821716854"
"FAM131B","1.05244742176917"
"RPP38-DT","1.10176098872962"
"TMCO5A","1.02245296090523"
"ATP5MJ","1.0581089115006"
"ANK2","1.12942428903836"
"RFXAP","0.86718160582227"
"RPS6KA3","0.797427104221099"
"TEX48","1.1576621196898"
"ERF","0.703180203315899"
"PAAF1","0.832861277442257"
"ZNF428","1.03609366719377"
"HIC2","0.804700608265552"
"SMIM20","1.05703346415846"
"CDC42EP2","1.01491150018532"
"PIK3AP1","1.04052211338767"
"FAM174B","0.604626402681983"
"IL10RA","1.1047591461705"
"LRRC17","1.00875524901739"
"PCYT2","0.982968015469194"
"SLC15A1","1.0295467207656"
"LMX1B","1.03948884194404"
"ZNF736","1.11059425594988"
"GBGT1","1.06737184541958"
"CDC5L","0.862216443911476"
"RHOF","0.937845212934933"
"ORAI2","1.08559870079598"
"CLDN25","1.0337652203364"
"PRRG3","1.03365124425145"
"SPATA31A1","0.998056250648173"
"VSTM5","1.0786810908664"
"RASAL2","1.05769243338046"
"NUP160","0.490392514467592"
"H2BC13","1.11126138150413"
"CABLES1","0.769197510538484"
"CSN1S1","1.0985699289735"
"PLAC8","1.10559042895475"
"COL4A1","1.06678240708824"
"PCDHGA12","1.0478743454038"
"HSD3B7","1.02879535325752"
"SOX3","0.789513665343822"
"OR10Q1","1.074511307639"
"SLC30A4","1.11059437955414"
"CNBD2","1.0958680444696"
"ECH1","0.978798398605351"
"PER1","1.0386404625255"
"CSTF2","0.93630037760877"
"SH3D19","0.794324207775889"
"CNEP1R1","0.662499154478625"
"MSH4","1.12229647835455"
"DPRX","1.04942465873238"
"SNCG","1.08366876858047"
"ZSCAN2","1.02171315441008"
"AAMP","0.924595354023213"
"CLEC10A","1.00130649059751"
"TPM4","0.902216500259366"
"PMS2P1","1.05512182402146"
"EFEMP2","1.04858866565647"
"RBIS","1.16443810235548"
"ZWINT","1.01236041594083"
"ATP1B4","1.07517767975036"
"PITPNM1","0.719098005877618"
"C3orf22","1.04530759306791"
"H1-5","1.24758951187939"
"GPRIN1","0.769621838231156"
"GPR26","1.03560252637946"
"NUDT10","1.06130331079798"
"LCE2A","1.04064524568708"
"PFKFB4","0.393920249487993"
"MC1R","0.647703960112526"
"USP32","0.467614929760585"
"DUS1L","1.0374371859626"
"FUT3","1.02752205546584"
"TAF12","0.954401181299771"
"ATP8B3","1.03357334444172"
"FAM171B","0.988181826532182"
"KIF3A","1.03062646340527"
"SULT6B1","1.09496470050134"
"NKIRAS2","0.996957701817406"
"RAX2","1.26134693115046"
"BTBD18","1.11298232709656"
"SPINK9","1.07030382128744"
"SLC35A3","0.587128831563296"
"HNRNPDL","0.666399092668397"
"PSORS1C2","1.06520369757814"
"CCSER1","1.02140849470623"
"SULT1C3","1.09763700990339"
