"Gene_Symbol","Andocsa"
"FCRL3","1"
"DCAF4L2","1.00020036064917"
"STOX1","0.994169096209913"
"CRMA","1"
"CRMA","1"
"KRT78","1.00135187331016"
"CCDC7","0.9897937929598"
"ZNF41","1.00631844987363"
"ZNF512","1.00120839283753"
"AMMECR1","1.00210614995788"
"FAM117B","1.0005437737901"
"ZNF583","1"
"OXER1","1"
"LINC00052","1.00063144601137"
"CCDC89","1"
"ZNF572","1.07023538344723"
"ADAMTS18","0.971954964176049"
"PCDHAC1","1"
"PCDHAC1","1"
"HIPK4","1"
"ITIH5","0.994377342773844"
"ZNF709","0.999789429353548"
"SMC1B","0.999368553988634"
"ASB16","1"
"MAGEE2","1"
"ERVV-1","1"
"GAL3ST3","1"
"FLJ30679","1.00055576139311"
"C2CD6","1.00063184498736"
"UTS2R","1"
"USH1G","1.00392237819983"
"SYN1","1"
"SLC23A3","1.10988620199147"
"CNOT6LP1","1.04092019543974"
"RHBDL3","1"
"ZNF718","1.01459549624687"
"SNRNP48","1.00221573169503"
"ZNF560","1.02527379949452"
"BTNL9","0.876990559740631"
"UMODL1-AS1","1"
"LMLN","0.999368553988634"
"ZNF555","0.984832262669522"
"NYAP1","1"
"MRGPRX3","1"
"ABCA13","1.00189553496209"
"ADGRG7","0.999789429353548"
"CSF3R","1"
"CD300LD-AS1","1"
"LINC02910","1"
"KIF19","1"
"SLFNL1","1.03381642512077"
"GPR82","1.00021061499579"
"OXGR1","1"
"CDC14C","1"
"SULT1C4","1"
"CATSPER2","1.00147368421053"
"POU5F2","1"
"RXFP2","1.00042122999158"
"SSMEM1","1.01021225470565"
"MAB21L3","1"
"BASP1-AS1","1"
"SDE2","1.08787319175131"
"SLC35G6","1"
"UROC1","1"
"KCNA6","1"
"ARID2","0.808264639760197"
"AMER3","1"
"ERVW-1","1"
"FGF13","1"
"LINC01600","1.00021043771044"
"PNPLA1","1"
"ANKRD23","0.983870967741935"
"COX6B2","1"
"WDR64","1"
"HEATR9","1"
"PARP15","1"
"ARHGAP42","1.0033698399326"
"LINC01101","0.997093023255814"
"CALHM4","1"
"NPHP3","1.00378151260504"
"ATG9B","1"
"CXorf58","1"
"HILPDA-AS1","1"
"TFAP2B","1"
"CCDC13","1.03336058871627"
"MRGPRX1","1.1178813221824"
"RLN3","1"
"ABCC12","1"
"AGBL4","1.00061074918567"
"LCAL1","1"
"SLC17A8","0.992568125516102"
"LINC02873","1"
"CNTNAP5","1"
"C12orf40","1"
"CFAP57","1"
"C5orf64","1.00758213984836"
"ADAMTS15","1.08424599831508"
"LY86-AS1","1"
"EDARADD","1"
"C18orf15","1"
"MUC19","1"
"NDUFV1-DT","1.01554713972494"
"AQP4-AS1","1"
"FER1L6-AS1","1"
"C1orf127","1"
"CCDC162P","1"
"AGBL1","1"
"LINC02880","1"
"LINC00304","1.01510700797314"
"TERB1","1"
"MYO1H","0.998737904922171"
"ASB14","1.00779275484414"
"RPTN","1"
"FEZ1","1"
"LINC00269","1"
"STPG4","1"
"FAM9B","1"
"FLJ40288","1"
"CES5A","1"
"CFAP47","1"
"DCAF8L2","1"
"DNAH17","0.97578547128277"
"SLC35G3","1"
"KIRREL3-AS3","1"
"TMEM145","1"
"C15orf32","1.00105019953791"
"TSGA10IP","1"
"LINC00477","1"
"CCDC140","1.00905644481887"
"C17orf78","1"
"TEKT5","1"
"TEKT5","1"
"TDH","1"
"TDH","1"
"LINC00615","1"
"SERPINA9","1"
"FBXL21P","1"
"MRGPRX4","1.01325199831721"
"A2ML1","1"
"CPO","1"
"GPR6","1"
"MDS2","1"
"GJD3","1"
"HOXC12","1.03134080531341"
"COPS9","1.0444397641112"
"FERD3L","0.974748511599261"
"DEFT1P2","1.00231384097602"
"LINC00314","1"
"DEFB104B","1"
"NLRP14","1"
"DGKB","1"
"NLRP13","0.99937369519833"
"NLRP8","1"
"NLRP9","1"
"TAF5","0.998330550918197"
"TAS1R2","1"
"NLRP10","1.00126368997473"
"KRT73","1"
"KRT74","1"
"SLC29A2","0.968832756162151"
"LMX1A","1"
"GPR101","1"
"ILDR1","0.991438713718939"
"VN1R2","0.999789429353548"
"VN1R5","1"
"MT-ND1","1.01329518680579"
"TAAR8","1"
"TAS2R39","1"
"TAS2R38","1"
"TAS2R40","1"
"TAS2R41","1"
"TMEM171","1"
"VN1R6P","1"
"TAS2R50","1"
"DDAH1","0.994023083264633"
"PIANP","1"
"MT-TD","1.00190861120467"
"H1-6","0.9957805907173"
"MT-CO1","1.00609583215197"
"CYGB","1.02691043549712"
"IFNE","0.987531172069826"
"MT-ND6","0.954274603274164"
"DIPK2B","1.00063118030717"
"FBXL19-AS1","1"
"MT-ATP6","1.00495568818955"
"FAM27E3","0.985892116182573"
"SYCP3","0.998147004323657"
"TMIE","1"
"TMIE","1"
"MUCL1","1"
"LINC00189","1"
"LINC00189","1"
"ZNF354B","0.869017632241814"
"LINC01198","0.998948032821376"
"TRIM43CP","1"
"TRIM43CP","1"
"TRIM42","1.00042122999158"
"FSIP1","1"
"EFCAB13","1"
"EFCAB13","1"
"GARIN3","1"
"CABCOCO1","1"
"SLC9B1P1","0.999579124579125"
"WEE2-AS1","1"
"DYNLT5","1"
"TSGA13","1"
"C9orf163","1"
"SYNE3","0.979125640015754"
"CCDC141","1"
"HDX","1.00484414490312"
"SYT14","1"
"TECTB","1.01390058972199"
"VWA3A","0.988736432520991"
"LINC00896","1.03103802672148"
"HUS1B","0.996901466639124"
"NPB","0.916473731077471"
"LRCH3","1.00618939550237"
"ENAH","1.00485436893204"
"STK35","0.993513287298598"
"LRRIQ3","0.99484748557296"
"KLC4","0.999795584627964"
"ITGB1P1","1.09349204450293"
"PRF1","1"
"FBXL14","1"
"FBXL14","1"
"PPIL6","0.986171888674952"
"C18orf25","0.99434554973822"
"PIK3C2A","1.00720590884525"
"ZNF791","0.979590343818581"
"HTRA4","1"
"LINC00525","1"
"FAM218A","1.00063184498736"
"RHEBL1","1.016"
"MCRIP2","0.979094076655052"
"KCTD7","0.948441482062341"
"ZNF548","1.00828542441664"
"AMER2","1"
"RNF152","1"
"RNF152","1"
"ADGRG3","1"
