"Gene_Symbol","Amaya2014a"
"CDC42EP2","0.541426427853725"
"TMOD2","0.34781689250731"
"PIK3AP1","0.361516104880329"
"FAM174B","0.969952503855103"
"ATP5PF","0.982158454487658"
"IL10RA","0.368582829650561"
"SLC15A1","0.342635964557781"
"BAIAP2","0.339534623622374"
"LMX1B","0.406517103310158"
"ZNF736","0.368531950757834"
"GBGT1","0.408480267458297"
"CDC5L","0.679461589501604"
"EZH2","0.990677045265894"
"RHOF","0.630057459154901"
"ORAI2","0.482578382967182"
"CLDN25","0.401340719905046"
"PRRG3","0.384386363101808"
"SPATA31A1","0.360674510678406"
"TUBA3FP","0.372669602449042"
"VSTM5","0.376580324948195"
"RASAL2","0.327677509165724"
"CFAP276","0.366657220631698"
"RDH16","0.35723352549716"
"NUP160","1.10612615858753"
"H2BC13","0.421137586348593"
