"Gene_Symbol","Tabuchi2008"
"DPYSL2","1.17657021699726"
"RPLP1","1.03483916260305"
"CTSD","1.09474907216213"
"MAT2A","0.599241859780844"
"LAMC1","0.908695553142146"
"PTMAP5","1.16694303696525"
"BZW1P2","0.859860709987967"
"BZW1","1.04837575756019"
"ATF4","0.998203672637098"
"RPS15AP1","1.11390257050595"
"ANXA5","1.02623948849822"
"STMN1","0.988221538051836"
"LRP1","1.11001110483043"
"PSMB7","1.14723761585917"
"PEA15","0.735637312424017"
"ECH1","1.07646873179293"
"ODC1","0.979422439191413"
"IQGAP1","0.924607142677391"
"XRCC6","1.00937773592423"
"ACO2","0.991458134284032"
"SPARCL1","0.982466461343328"
"MCL1","1.18777223041266"
"HSPA1A","26.9273311628164"
"HSPA1B","33.5590383500037"
"SARS1","0.98350942781831"
"TMBIM6","1.17766947899538"
