"","X","gene_id","L2FC","L2FCSE","p.value","p.adjust","symbol"
"85",85,"ENSG00000269896",-0.0163107292547935,0.123822699464407,0.491176320204498,NA,"LOC100129534"
"86",86,"ENSG00000272420",-0.00659406475236206,0.124743886288968,0.189668461436217,NA,NA
"87",87,"ENSG00000157916",-0.0242320260769045,0.10659971585092,0.840301175646659,0.959016009679227,"RER1"
"88",88,"ENSG00000157911",0.00194462506353645,0.112222661252094,0.955020343016574,0.987977801420754,"PEX10"
"89",89,"ENSG00000157881",-0.0391274728093118,0.109232119435224,0.501757177585252,0.821785631959967,"PANK4"
"90",90,"ENSG00000272449",0.00753191457290334,0.124318942408115,0.531777603296214,NA,NA
"91",91,"ENSG00000157873",-0.0170268581597508,0.125725917653455,0.168387398321396,NA,"TNFRSF14"
"92",92,"ENSG00000157870",0.012029732731621,0.111248417655004,0.823895449002277,0.95329732706951,"PRXL2B"
"93",93,"ENSG00000215912",0.00126839148550054,0.123911504363815,0.921240840792469,NA,"TTC34"
"94",94,"ENSG00000130762",-0.0443556584798933,0.11602769565058,0.43141636132418,0.78645435947558,"ARHGEF16"
"95",95,"ENSG00000162591",-0.116691245308072,0.195183443909654,0.0352092113101576,0.345197173336263,"MEGF6"
"96",96,"ENSG00000158109",-0.0593953236947491,0.117440254596984,0.330930992793291,0.72577655185992,"TPRG1L"
"97",97,"ENSG00000116213",-0.0925929847122851,0.150973792713554,0.115894332753429,0.5256738897524,"WRAP73"
"98",98,"ENSG00000078900",-0.074918335738659,0.151687345211016,0.0575477368401801,0.411812959161388,"TP73"
"99",99,"ENSG00000227372",-0.0229644880781218,0.105295733907116,0.694108773167039,0.908332948555698,"TP73-AS1"
"100",100,"ENSG00000235169",0.00798635458591371,0.123982933231462,0.602934786270029,NA,"SMIM1"
"101",101,"ENSG00000130764",0.0247504749843544,0.101634110540731,0.684268719232084,0.905284830670048,"LRRC47"
"102",102,"ENSG00000272153",-0.0134572497899669,0.124737388068775,0.363099769279094,NA,NA
"103",103,"ENSG00000116198",0.0234218626619921,0.0941899157540663,0.709110857251945,0.913588613995532,"CEP104"
"104",104,"ENSG00000169598",0.0220953991314126,0.110503308035572,0.686853226401194,0.905627121690633,"DFFB"
"105",105,"ENSG00000198912",-0.0231244744676642,0.102375203131406,0.700793210642047,0.910631650863013,"C1orf174"
"106",106,"ENSG00000236423",-0.00166806644176693,0.123070944875155,0.927635039740013,NA,"LINC01134"
"107",107,"ENSG00000131697",-0.1312983070685,0.194242988212105,0.0555729863415943,0.40808117590628,"NPHP4"
"108",108,"ENSG00000069424",-0.054968064877068,0.11753239685857,0.356337013706213,0.741717862175463,"KCNAB2"
"109",109,"ENSG00000116254",0.0136880071568832,0.124357898928598,0.445357366576649,NA,"CHD5"
"110",110,"ENSG00000116251",0.0636104446825872,0.120129977725414,0.299666309300874,0.705518910603709,"RPL22"
"111",111,"ENSG00000226944",0.00310650132669541,0.124476696063052,0.587912441771707,NA,"RNF207-AS1"
"112",112,"ENSG00000158286",0.0718059005869831,0.140258346886263,0.155916764123552,0.580728354105907,"RNF207"
"113",113,"ENSG00000116237",-0.13683798441602,0.115426807976475,0.071626359593852,0.442922085281337,"ICMT"
"114",114,"ENSG00000225077",0.00821211984677967,0.122162920351945,0.749549312861579,0.928192430011079,NA
"115",115,"ENSG00000158292",-0.297280813106635,0.400192648599308,0.0145275865839702,0.232056292310215,"GPR153"
"116",116,"ENSG00000097021",-0.109071466504125,0.145076707224435,0.123726596858443,0.537755095013324,"ACOT7"
"117",117,"ENSG00000069812",-0.00107125176216076,0.118889284047137,0.973222389478527,0.991946060746653,"HES2"
"118",118,"ENSG00000187017",-0.00454600277269835,0.123670562734823,0.769503647678294,NA,"ESPN"
"119",119,"ENSG00000215788",-0.00176558661237233,0.121996260553456,0.94115693223675,NA,"TNFRSF25"
"120",120,"ENSG00000171680",0.0126152967198291,0.115305677278116,0.784551329195655,0.941425060581077,"PLEKHG5"
"121",121,"ENSG00000162408",0.0256847329685347,0.0966785155807015,0.680859249941934,0.904253520277451,"NOL9"
"122",122,"ENSG00000229519",0.000830536044543823,0.124361699141014,0.905118929767359,NA,NA
"123",123,"ENSG00000204859",0.0109873803652747,0.112810975012254,0.823289743504374,0.95329732706951,"ZBTB48"
"124",124,"ENSG00000162413",-0.0227886534109665,0.117222267753619,0.571006134035035,0.856744425000662,"KLHL21"
"125",125,"ENSG00000116273",-0.120742008794519,0.176624410586007,0.0708460988112162,0.440152159309428,"PHF13"
"126",126,"ENSG00000041988",0.0192642828016157,0.113339784392331,0.701329077377016,0.910631650863013,"THAP3"
"127",127,"ENSG00000007923",0.165487567151192,0.147313278219524,0.0516931370580554,0.393169425553871,"DNAJC11"
"128",128,"ENSG00000237436",0.0108128169109726,0.124724363748675,0.349292019961784,NA,NA
"129",129,"ENSG00000171735",-0.0638408553347756,0.101483492152408,0.332236031217256,0.726237869950968,"CAMTA1"
"130",130,"ENSG00000049245",0.00818557836949869,0.100677935783829,0.892384120263904,0.971948887194354,"VAMP3"
"131",131,"ENSG00000269925",0.0101519678194964,0.124166757211476,0.537829891151771,NA,NA
"132",132,"ENSG00000049246",0.052782686754884,0.105449982376118,0.404970978679418,0.770338449977861,"PER3"
"133",133,"ENSG00000236266",0.00416346209987352,0.124185337889667,0.700802168586092,NA,NA
"134",134,"ENSG00000049247",-0.0055356054132318,0.124675309952876,0.260978670733345,NA,"UTS2"
"135",135,"ENSG00000049249",-0.00449876778248,0.121225685419441,0.866695896500896,0.96419062854445,"TNFRSF9"
"136",136,"ENSG00000116288",-0.105320049755902,0.123213164701462,0.145947428214459,0.568791468911335,"PARK7"
"137",137,"ENSG00000284747",0.0079308543261452,0.124307825451045,0.525919335786286,NA,NA
"138",138,"ENSG00000116285",0.0768993742260729,0.118099665595651,0.247560929972711,0.661629846799159,"ERRFI1"
"139",139,"ENSG00000227634",0.00745211563007605,0.124809537163416,0.137784249671874,NA,"LINC01714"
"140",140,"ENSG00000162426",-0.0116757373296183,0.124787845351923,0.339320823431651,NA,"SLC45A1"
"141",141,"ENSG00000142599",0.0213745057413934,0.100058774257359,0.729109696329206,0.922964563890885,"RERE"
"142",142,"ENSG00000234619",0.00501718355653876,0.124463103835191,0.514114047906633,NA,"RPL7P11"
"143",143,"ENSG00000074800",-0.0560707304571749,0.113069775474877,0.364211618162803,0.747283015217787,"ENO1"
"144",144,"ENSG00000230679",0.00685427338382176,0.124508287986478,0.444325564740179,NA,"ENO1-AS1"
"145",145,"ENSG00000238249",0.0501470305879187,0.130291190722029,0.235466358486818,0.652471893015605,NA
"146",146,"ENSG00000232208",0.00350900218331197,0.124234247278903,0.726273515857993,NA,NA
"147",147,"ENSG00000142583",-0.0694909345943933,0.151092523277132,0.0197977000943118,0.266820252242395,"SLC2A5"
"148",148,"ENSG00000180758",-0.0374021749945067,0.118433447508011,0.457522191521977,0.800835626693279,"GPR157"
"149",149,"ENSG00000228526",-0.00503966882336917,0.12001324153503,0.866581268563503,0.96419062854445,"MIR34AHG"
"150",150,"ENSG00000234546",0.0232461095264366,0.12666715771666,0.165744573573734,NA,"LNCTAM34A"
"151",151,"ENSG00000049239",-0.161541374393504,0.217243074977707,0.0438965433275696,0.374212252626894,"H6PD"
"152",152,"ENSG00000171621",-0.0231976530879812,0.095611517622865,0.708673908468031,0.913364311081983,"SPSB1"
"153",153,"ENSG00000284652",0.0123070900661947,0.125311980954231,0.0545405217950276,NA,NA
"154",154,"ENSG00000284693",-0.0384421663177235,0.13130829677295,0.0926161480626544,NA,"LINC02606"
"155",155,"ENSG00000171612",0.0358739917253832,0.107512062300814,0.5454392869283,0.842159781271511,"SLC25A33"
"156",156,"ENSG00000188807",-0.0398244368361859,0.114211974541131,0.476032783127712,0.808664087987532,"TMEM201"
"157",157,"ENSG00000171608",-0.084067239363455,0.136812102829545,0.175601106242393,0.597595765180176,"PIK3CD"
"158",158,"ENSG00000231789",0.0238921868639517,0.123459863301748,0.45303994047524,0.79772043664295,"PIK3CD-AS2"
"159",159,"ENSG00000171603",-0.226272791762473,0.145660099399095,0.0162470418925167,0.242027764143227,"CLSTN1"
"160",160,"ENSG00000178585",-0.0501241775359776,0.119447647112569,0.367228549797516,0.74890155963046,"CTNNBIP1"
"161",161,"ENSG00000162441",0.0357147280730584,0.101898030887693,0.568537105623292,0.855085158431473,"LZIC"
"162",162,"ENSG00000228150",0.00247040858970939,0.123315587868037,0.887632068306644,NA,NA
"163",163,"ENSG00000173614",0.740341786158405,0.319208529948306,0.000762807445717446,0.0470904308332943,"NMNAT1"
