"Gene_Symbol","Andocsb"
"C9orf72","1.00098286998034"
"KCTD18","1.01058201058201"
"ANKLE1","1"
"TEX55","1"
"RANBP3L","1.00702049985959"
"SNX13","0.995865633074935"
"ATP6V0D2","1.24335378323108"
"LHX4","1.01202540197271"
"RNU6-646P","1"
"DNAH11","1"
"LRRN4","1.01585297418631"
"ZNF777","1.11936786966751"
"SH2D1B","1.00014023278643"
"SSTR3","1.00772254984555"
"ADAMTS19","1"
"ADAMTS19","1"
"UMODL1","1"
"ZNF441","1.01949478308622"
"NEGR1","1"
"FCRL3","1"
"DCAF4L2","0.999439304737875"
"STOX1","0.994585589337776"
"CRMA","1.00435087719298"
"RNFT2","1.00149659863946"
"KRT78","1.0096562379297"
"CCDC7","0.990626952718184"
"ZNF41","1.00673967986521"
"ZNF512","0.995056574755575"
"AMMECR1","1.00140409997192"
"FAM117B","0.961029545042596"
"ZNF583","1"
"OXER1","1"
"LINC00052","1.00091208868308"
"CCDC89","1"
"ZNF572","1.0445456846368"
"PCDHAC1","1"
"PCDHAC1","1"
"HIPK4","1"
"FAM124A","0.994791666666667"
"NKAIN3","1.01880060381501"
"ITIH5","0.99625156184923"
"ZNF709","0.999789429353548"
"SMC1B","0.999368553988634"
"BRWD3","0.938780804150454"
"ASB16","1"
"MAGEE2","1"
"ERVV-1","1"
"GAL3ST3","1.00042122999158"
"FLJ30679","1"
"UTS2R","1"
"USH1G","1"
"SYN1","1"
"CNOT6LP1","1"
"RHBDL3","1"
"ZNF718","1.00931331665277"
"SNRNP48","0.960150401181724"
"ZNF560","1.01684919966302"
"BTNL9","0.871873112742761"
"UMODL1-AS1","1"
"LMLN","1.01747000631446"
"NYAP1","1"
"RSKR","0.982378366396985"
"MRGPRX3","1"
"ABCA13","1.00126368997473"
"ADGRG7","0.999789429353548"
"CSF3R","1"
"CD300LD-AS1","1"
"LINC02910","1"
"KIF19","1"
"SLFNL1","0.999649933487363"
"GPR82","1"
"GPR82","1"
"OXGR1","1"
"CDC14C","1"
"SULT1C4","1"
"POU5F2","1"
"RXFP2","1"
"SLC18A2","1"
"SSMEM1","1.00680816980376"
"MAB21L3","1"
"BASP1-AS1","1"
"SDE2","0.995383194829178"
"SLC35G6","1"
"UROC1","1"
"TNRC6A","1.00056140350877"
"KCNA6","1.00466107337861"
"ARID2","0.848017699746637"
"AMER3","1"
"ERVW-1","1"
"FGF13","1"
"FBXL18","1.01651859164199"
"LINC01600","1"
"PNPLA1","1"
"DEPDC4","1.00364912280702"
"ANKRD23","0.983870967741935"
"COX6B2","1"
"WDR64","1"
"HEATR9","1"
"PARP15","1"
"LINC01101","0.996124031007752"
"CALHM4","1"
"ATG9B","1.00420521446594"
"CXorf58","1"
"HILPDA-AS1","1"
"CD200R1","1"
"CCDC13","1.01324611610793"
"MRGPRX1","1.07898579583167"
"RLN3","1"
"ABCC12","1"
"LCAL1","1"
"SLC17A8","1"
"LINC02873","1"
"CNTNAP5","1"
"SLFN13","1"
"C12orf40","1.00098286998034"
"CFAP57","1"
"C5orf64","1"
"ADAMTS15","1.01993821960124"
"LY86-AS1","1"
"EDARADD","1"
"C18orf15","1"
"MUC19","1"
"NDUFV1-DT","1.00591322835692"
"AQP4-AS1","1"
"FER1L6-AS1","1"
"C1orf127","1.00987248046072"
"CCDC162P","1"
"AGBL1","1"
"LINC02880","1"
"LINC00304","1.01007133864876"
"TERB1","1"
"MYO1H","0.998737904922171"
"ASB14","1"
"RPTN","1"
"LINC00269","1"
"CCDC150","1.00210614995788"
"STPG4","1"
"FAM9B","1"
"FLJ40288","1"
"CES5A","1"
"CFAP47","1.0189470835025"
"DCAF8L2","1"
"DNAH17","0.974984990994597"
"SLC35G3","1"
"KIRREL3-AS3","1"
"TMEM145","1"
"C15orf32","1.00679129034517"
"TSGA10IP","1"
"LINC00477","1"
"CCDC140","1"
"C17orf78","1"
"TEKT5","1"
"TEKT5","1"
"KSR2","1.0021017234132"
"TDH","1.06762886597938"
"LINC00615","1"
"SERPINA9","1"
"FBXL21P","1"
"MRGPRX4","1.0088346655448"
"A2ML1","1"
"CPO","1"
"GPR6","1"
"HOXC12","1.02144735021447"
"COPS9","1.02780117944398"
"FERD3L","0.974748511599261"
"DEFT1P2","1.00154256065068"
"LINC00314","1"
"DEFB104B","1"
"NLRP14","1"
"DGKB","1"
"NLRP13","1.00013917884482"
"NLRP8","1"
"NLRP9","1"
"TAF5","0.843799494884637"
"TAS1R2","1"
"ITGB1P1","1.07695007458103"
"NLRP10","1"
"RANGAP1","1.02192758796532"
"KRT73","1"
"KRT74","1"
"LMX1A","1"
"CCDC125","1.00034494653329"
"GPR101","1"
"VN1R2","0.999789429353548"
"VN1R5","1"
"MT-ND1","1.01503421967912"
"TAAR8","1"
"TAS2R39","1"
"TAS2R38","1"
"TAS2R40","1"
"TAS2R41","1"
"TMEM171","1"
"VN1R6P","1"
