"Gene_Symbol","Tabuchi2011e"
"WWP2","1.37467919812575"
"ST7L","1.18885253596353"
"C2orf15","0.111986859734935"
"KCNH8","0.290889661755854"
"MCF2L","5.92660205643105"
"SLCO6A1","7.50233839775514"
"PP2D1","1.79685120504292"
"CIB3","0.10883982699022"
"DOCK8-AS1","3.44430000325346"
"SLC16A11","0.363695931995953"
"HS6ST2","0.401294097079642"
"CAMKK1","3.36572362968438"
"ZNF625","0.406322194901912"
"ZNF563","0.214033572897885"
"CLEC4D","1.89595323071728"
"GPRC6A","3.07993005868639"
"ZNF417","2.49695446361092"
"ZNF781","6.57785717734537"
"HELB","0.363473808928552"
"SEC62","0.868948134367545"
"TRDN","4.40492814035622"
"SOCS4","1.22305386714891"
"LINC02904","3.71431568885729"
"ZNF547","1.60861522896536"
"TLR4","0.980388262382392"
